datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Funding rate,openinterest,symbol
2024-12-06 12:00:00,98069.61,98382.36,97512.26,97636.29,1273.05657,1733489999999,124732346.6146401,213148,467.43828,45820376.6552279,0,0.0,0,BTCUSDT
2024-12-06 13:00:00,97638.55,98913.46,97512.26,98591.99,2422.42538,1733493599999,238149785.1655365,476886,1347.69958,132503287.4429652,0,0.0,0,BTCUSDT
2024-12-06 14:00:00,98591.99,99483.81,98346.19,99481.69,3056.5731,1733497199999,302630347.5895078,502455,1432.13397,141803108.2823727,0,0.0,0,BTCUSDT
2024-12-06 15:00:00,99481.68,99483.81,98568.82,99309.99,2616.12535,1733500799999,259198502.16448233,441697,1075.38615,106547143.3185948,0,0.0,0,BTCUSDT
2024-12-06 16:00:00,99310.0,99500.0,98762.6,99004.07,1589.18851,1733504399999,157577836.2338368,353486,740.67914,73437794.7249135,0,0.00014633999999999998,0,BTCUSDT
2024-12-06 17:00:00,99004.06,101250.0,98882.58,100844.05,3287.63064,1733507999999,329861238.6866101,473862,1838.06514,184417404.27376312,0,0.0,0,BTCUSDT
2024-12-06 18:00:00,100844.06,101766.48,100588.23,101363.95,3318.42583,1733511599999,336098543.7280107,500417,1594.63804,161549336.765305,0,0.0,0,BTCUSDT
2024-12-06 19:00:00,101363.95,101799.0,101120.16,101439.99,1457.11119,1733515199999,147819446.0287606,250676,632.78995,64209143.6437665,0,0.0,0,BTCUSDT
2024-12-06 20:00:00,101439.99,101898.99,101056.0,101360.0,1587.73777,1733518799999,161297841.7429388,245160,664.45187,67513278.9287545,0,0.0,0,BTCUSDT
2024-12-06 21:00:00,101360.0,101449.99,100290.9,100372.01,1134.08609,1733522399999,114380423.2608616,190085,420.56332,42417550.4053009,0,0.0,0,BTCUSDT
2024-12-06 22:00:00,100372.01,100707.37,100357.68,100504.0,695.79652,1733525999999,69951647.135646,108523,369.36253,37132558.668443,0,0.0,0,BTCUSDT
2024-12-06 23:00:00,100504.0,100573.99,99053.03,99740.84,1999.91146,1733529599999,199623429.20223367,277245,1021.959,101986599.4549095,0,0.0,0,BTCUSDT
2024-12-07 00:00:00,99740.84,100406.15,99529.41,100272.01,912.55455,1733533199999,91313260.4824208,169591,442.61196,44284098.1283714,0,0.0001,0,BTCUSDT
2024-12-07 00:00:00,99740.84,100406.15,99529.41,100272.01,912.55455,1733533199999,91313260.4824208,169591,442.61196,44284098.1283714,0,0.0001,0,BTCUSDT
2024-12-07 01:00:00,100272.01,100428.0,99824.62,100044.31,666.65588,1733536799999,66731138.6190522,128049,282.08621,28237682.1069265,0,0.0,0,BTCUSDT
2024-12-07 02:00:00,100044.31,100169.42,99868.0,99930.01,423.24483,1733540399999,42344220.35879,93173,184.72701,18482261.5365206,0,0.0,0,BTCUSDT
